,Ejemplar,Numero_de_inclusiones,Agujeros,Lineas_de_corrosion,Señal_quimica,Diametro_mm,Arreglo_de_inclusiones,Forma_de_fracturas_en_terminaciones
0,bump headed lace,4,2.0,1.0,1.0,1,2,5.0
1,bump headed lace,4,2.0,2.0,1.0,1,2,3.0
2,circular,1,2.0,1.0,1.0,1,4,5.0
3,circular,3,2.0,2.0,1.0,2,4,5.0
4,cilíndrico,1,2.0,1.0,1.0,3,1,5.0
5,cilíndrico,3,2.0,2.0,2.0,2,4,5.0
6,cilíndrico,1,2.0,1.0,1.0,3,1,5.0
7,cilíndrico,4,2.0,1.0,1.0,1,4,5.0
8,cono,2,2.0,2.0,2.0,2,4,1.0
9,elipsoidal,3,2.0,2.0,1.0,1,2,5.0
10,elongado,2,3.0,2.0,2.0,2,4,1.0
11,elongado,2,3.0,2.0,2.0,2,4,1.0
12,forma de pino,4,2.0,2.0,1.0,1,2,5.0
13,irregular,1,2.0,1.0,1.0,4,1,1.0
14,irregular,2,4.0,2.0,3.0,3,2,1.0
15,irregular,4,2.0,1.0,1.0,1,2,5.0
16,forma de rosario,4,1.0,2.0,1.0,2,2,4.0
17,espiral,1,2.0,2.0,2.0,1,4,1.0
18,forma de encaje recto,4,2.0,2.0,1.0,1,2,5.0
19,forma de encaje recto,4,2.0,1.0,1.0,1,2,5.0
20,encaje delgado,4,2.0,1.0,1.0,1,2,5.0
21,encaje delgado,4,2.0,2.0,1.0,1,2,5.0
22,encaje delgado,4,1.0,2.0,1.0,1,2,5.0
